epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,564.179,1.46217,2.70433,1.66843,0.2088,0.29108,0.21852,0.08952,1.50161,4.37013,1.79395,0.000550425,0.000550425,0.000550425
2,1144.08,1.5209,2.3154,1.68176,0.18365,0.45017,0.15762,0.05589,1.67265,8.64368,1.97297,0.00106959,0.00106959,0.00106959
3,2020.99,1.60424,2.26874,1.73909,0.76493,0.27622,0.27304,0.10861,1.57044,7.09172,1.85333,0.00155208,0.00155208,0.00155208
4,2660.91,1.57886,2.12179,1.72826,0.27282,0.41084,0.29377,0.12198,1.5915,3.10183,1.87477,0.00150197,0.00150197,0.00150197
5,3462.67,1.51364,2.01933,1.675,0.29887,0.45286,0.32607,0.14591,1.42044,4.381,1.68495,0.00144696,0.00144696,0.00144696
6,4418.63,1.48796,1.95543,1.65823,0.46239,0.45105,0.43533,0.19701,1.49159,2.93839,1.67469,0.00139195,0.00139195,0.00139195
7,6230.92,1.48362,1.90753,1.64847,0.45841,0.4257,0.45369,0.2146,1.47616,2.39693,1.67404,0.00133693,0.00133693,0.00133693
8,7157.85,1.42661,1.80534,1.59637,0.54942,0.53278,0.51969,0.23642,1.52354,2.36646,1.75433,0.00128192,0.00128192,0.00128192
9,8407.15,1.42105,1.74548,1.5918,0.65674,0.50175,0.56907,0.26746,1.39624,2.41699,1.62914,0.00122691,0.00122691,0.00122691
10,9129.66,1.38443,1.67056,1.56348,0.36123,0.4799,0.3989,0.21082,1.35933,2.42398,1.56834,0.0011719,0.0011719,0.0011719
11,9562.11,1.34428,1.59935,1.52117,0.6041,0.46862,0.54515,0.27958,1.35402,2.18528,1.54695,0.00111689,0.00111689,0.00111689
12,10034.6,1.31433,1.57112,1.52674,0.47918,0.57559,0.52766,0.23396,1.41484,3.57483,1.60731,0.00106188,0.00106188,0.00106188
13,10504.8,1.31537,1.54084,1.51327,0.5974,0.55089,0.58523,0.29956,1.34692,2.82964,1.52551,0.00100687,0.00100687,0.00100687
14,10974.1,1.30235,1.49087,1.5012,0.66562,0.49476,0.58431,0.29932,1.35494,1.57561,1.52349,0.000951857,0.000951857,0.000951857
15,11446.1,1.26624,1.44311,1.48305,0.6538,0.50918,0.53104,0.25797,1.36512,2.37733,1.60895,0.000896846,0.000896846,0.000896846
16,11918.8,1.23437,1.40412,1.46086,0.64542,0.53896,0.59569,0.29587,1.37666,1.99468,1.5385,0.000841835,0.000841835,0.000841835
17,12393.7,1.21094,1.34445,1.43597,0.64547,0.60315,0.59936,0.29393,1.35565,2.74628,1.55467,0.000786824,0.000786824,0.000786824
18,12873.1,1.20786,1.29366,1.42738,0.66062,0.55776,0.59391,0.29722,1.38768,1.62614,1.58325,0.000731813,0.000731813,0.000731813
19,13407.6,1.18936,1.2931,1.42313,0.71286,0.6009,0.64849,0.31955,1.35597,1.31118,1.54296,0.000676802,0.000676802,0.000676802
20,14082.8,1.1592,1.23607,1.389,0.64517,0.66128,0.66236,0.33642,1.34203,1.85589,1.51369,0.000621791,0.000621791,0.000621791
21,16683.1,1.19578,1.21543,1.5009,0.722,0.53278,0.62731,0.3223,1.30713,1.70768,1.51886,0.00056678,0.00056678,0.00056678
22,17329.6,1.13069,1.08326,1.44461,0.72165,0.56818,0.64189,0.34183,1.30712,1.3873,1.5127,0.000511769,0.000511769,0.000511769
23,18101,1.08355,1.01902,1.39973,0.69918,0.60905,0.66725,0.3311,1.35812,1.66273,1.55358,0.000456758,0.000456758,0.000456758
24,18967.1,1.04332,0.95713,1.37837,0.7356,0.59703,0.66767,0.3221,1.33422,1.32771,1.53589,0.000401747,0.000401747,0.000401747
25,19427.5,1.01971,0.91636,1.35321,0.74787,0.60402,0.6622,0.33896,1.31121,1.32394,1.52296,0.000346736,0.000346736,0.000346736
26,19884,0.9875,0.87499,1.33551,0.71055,0.63235,0.67151,0.35402,1.30496,1.44956,1.51945,0.000291725,0.000291725,0.000291725
27,594.014,0.9532,0.82899,1.30523,0.73372,0.6521,0.69277,0.35698,1.3329,1.53711,1.56387,0.000236714,0.000236714,0.000236714
28,1522.74,0.92465,0.76474,1.27565,0.74882,0.65997,0.69395,0.36595,1.29056,1.54792,1.52094,0.000181703,0.000181703,0.000181703
29,1972.12,0.86954,0.72415,1.24193,0.69346,0.6132,0.65113,0.3451,1.29858,1.52721,1.5316,0.000126692,0.000126692,0.000126692
30,2446.97,0.85154,0.70703,1.23783,0.70968,0.66259,0.66966,0.357,1.30001,1.32616,1.53339,7.1681e-05,7.1681e-05,7.1681e-05
